name,address,location,price,cuisine,longitude,latitude,award,greenstar,country,city,is_global_hub,is_native,restaurant_density,star_level,recog_level,is_starred,award_level
ES:SENZ,"Mietenkamer Straße 65, Grassau, 83224, Germany","Grassau, Germany",4,"Creative, Modern Cuisine",12.4656176,47.7856302,3 Stars,0,Germany,Grassau,0,0,0,3,0,1,5
Tohru in der Schreiberei,"Burgstraße 5, Munich, 80331, Germany","Munich, Germany",4,"Modern Cuisine, Japanese Contemporary",11.577475,48.137597,3 Stars,0,Germany,Munich,0,0,61,3,0,1,5
Schwarzwaldstube,"Tonbachstraße 237, Baiersbronn, 72270, Germany","Baiersbronn, Germany",4,"Classic French, Creative",8.3582803,48.5369113,3 Stars,0,Germany,Baiersbronn,0,0,5,3,0,1,5
Victor's Fine Dining by christian bau,"Schlossstraße 27, Perl, 66706, Germany","Perl, Germany",4,"Creative, Contemporary",6.3872109,49.5351732,3 Stars,0,Germany,Perl,0,0,1,3,0,1,5
Aqua,"Parkstraße 1, Wolfsburg, 38440, Germany","Wolfsburg, Germany",4,"Creative, Modern Cuisine",10.7899785,52.4328494,3 Stars,0,Germany,Wolfsburg,0,0,2,3,0,1,5
schanz. restaurant.,"Bahnhofstraße 8a, Piesport, 54498, Germany","Piesport, Germany",4,"Modern French, Creative",6.9266002,49.8776003,3 Stars,0,Germany,Piesport,0,0,0,3,0,1,5
Restaurant Haerlin,"Neuer Jungfernstieg 9, Hamburg, 20354, Germany","Hamburg, Germany",4,"Creative French, Classic Cuisine",9.9914638,53.5554424,3 Stars,0,Germany,Hamburg,0,0,46,3,0,1,5
The Table Kevin Fehling,"Shanghaiallee 15, Hamburg, 20457, Germany","Hamburg, Germany",4,"Creative, International",10.0028597,53.5426398,3 Stars,0,Germany,Hamburg,0,0,42,3,0,1,5
Waldhotel Sonnora,"Auf'm Eichelfeld 1, Dreis, 54518, Germany","Dreis, Germany",4,Classic French,6.8109342,49.9377323,3 Stars,0,Germany,Dreis,0,0,0,3,0,1,5
JAN,"Luisenstraße 27, Munich, 80333, Germany","Munich, Germany",4,"Creative, Modern Cuisine",11.5629878,48.1447975,3 Stars,0,Germany,Munich,0,0,60,3,0,1,5
Restaurant Bareiss,"Hermine-Bareiss-Weg 1, Baiersbronn, 72270, Germany","Baiersbronn, Germany",4,"Classic French, Seasonal Cuisine",8.3268245,48.5201324,3 Stars,0,Germany,Baiersbronn,0,0,6,3,0,1,5
Rutz,"Chausseestraße 8, Berlin, 10115, Germany","Berlin, Germany",4,"Modern Cuisine, Creative",13.3860867,52.5283507,3 Stars,1,Germany,Berlin,0,0,52,3,0,1,5
Maaemo,"Dronning Eufemias gate 23, Oslo, 0194, Norway","Oslo, Norway",4,Creative,10.7586363,59.9075293,3 Stars,1,Norway,Oslo,0,0,28,3,0,1,5
RE-NAA,"Nordbøgata 8, Stavanger, 4006, Norway","Stavanger, Norway",4,"Creative, Seafood",5.7308447,58.9739705,3 Stars,0,Norway,Stavanger,0,0,7,3,0,1,5
Frantzen,"Klara Norra Kyrkogata 26, Stockholm, 111 22, Sweden","Stockholm, Sweden",4,Creative,18.0597575,59.3341673,3 Stars,0,Sweden,Stockholm,0,0,40,3,0,1,5
Jordnær,"Gentoftegade 29, Gentofte, 2820, Denmark","Gentofte, Denmark",4,Creative,12.5412347,55.7481416,3 Stars,0,Denmark,Gentofte,0,0,2,3,0,1,5
Geranium,"Per Henrik Lings Allé 4, Parken National Stadium, Copenhagen, 2100 Ø, Denmark","Copenhagen, Denmark",4,"Creative, Contemporary",12.5720951,55.703472,3 Stars,0,Denmark,Copenhagen,0,0,62,3,0,1,5
Hisa Franko,"Staro selo 1, Kobarid, 5222, Slovenia","Kobarid, Slovenia",4,"Creative, Regional Cuisine",13.5378132,46.247312,3 Stars,1,Slovenia,Kobarid,0,0,0,3,0,1,5
Tresind Studio,"St. Regis Gardens, The Palm Jumeirah, Dubai",Dubai,4,Indian,55.1391176,25.114932,3 Stars,0,Dubai,Dubai,1,0,34,3,0,1,5
Grande Etoile,"Bastionstraße 16, Düsseldorf, 40213, Germany","Düsseldorf, Germany",3,"Modern Cuisine, French",6.775079,51.221634,Selected Restaurants,0,Germany,Düsseldorf,0,0,24,0,1,0,1
Goldener Engel,"Bachenstraße 27, Ihringen, 79241, Germany","Ihringen, Germany",2,Regional Cuisine,7.6472096,48.0439756,Selected Restaurants,0,Germany,Ihringen,0,0,1,0,1,0,1
Chiemgauhof,"Julius-Exter-Promenade 21, Übersee, 83236, Germany","Übersee, Germany",3,"Farm to table, Regional Cuisine",12.4757464,47.8468221,Selected Restaurants,0,Germany,Übersee,0,0,1,0,1,0,1
Chefs Atelier,"Im Löwental 60A, Essen, 45239, Germany","Essen, Germany",4,"Creative, Seasonal Cuisine",6.9957349,51.3836464,1 Star,0,Germany,Essen,0,0,3,1,0,1,3
FZN by Bjorn Frantzen,"Atlantis The Palm Jumeirah, Crescent Road, Dubai",Dubai,4,Modern Cuisine,55.1182319,25.1320377,3 Stars,0,Dubai,Dubai,1,0,16,3,0,1,5
Boury,"Rumbeeksesteenweg 300, Roeselare, 8800, Belgium","Roeselare, Belgium",4,Creative French,3.1403981,50.9374466,3 Stars,0,Belgium,Roeselare,0,0,5,3,0,1,5
Zilte,"Hanzestedenplaats 5, Antwerpen, 2000, Belgium","Antwerpen, Belgium",4,Creative,4.4047543,51.228828,3 Stars,0,Belgium,Antwerpen,0,0,48,3,0,1,5
Le Louis XV - Alain Ducasse a l'Hotel de Paris,"Place du Casino, Monaco, 98000, Principality of Monaco","Monaco, Principality of Monaco",4,"Mediterranean Cuisine, Modern Cuisine",7.4271047,43.7391839,3 Stars,0,Principality of Monaco,Monaco,0,0,17,3,0,1,5
L'Ambroisie,"9 place des Vosges, Paris, 75004, France","Paris, France",4,Classic Cuisine,2.3645215,48.855494,3 Stars,0,France,Paris,1,1,388,3,0,1,5
Flocons de Sel,"1775 route du Leutaz, Le Leutaz, Megève, 74120, France","Megève, France",4,Modern Cuisine,6.5969625,45.8302404,3 Stars,0,France,Megève,0,0,11,3,0,1,5
